,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,6,10,4,2,8,11,9,13,3,1,9,11,8,6,13,11,1,0,9,8,13,1,9,10,2,6,4,11,1
vessel 1,0,0,7,9,12,9,5,12,12,7,10,7,10,5,13,6,8,13,11,0,4,1,0,0,4,8,11,5,12,10
vessel 2,3,7,0,5,1,2,0,3,10,3,2,8,0,14,8,13,3,0,0,11,9,2,11,7,4,3,0,9,3,14
vessel 3,5,10,1,0,0,13,5,2,1,12,11,6,0,4,1,4,0,7,10,2,7,10,3,6,8,5,8,0,9,8
vessel 4,5,4,6,7,0,0,12,12,14,9,10,9,12,9,3,6,4,4,7,10,6,2,4,1,1,8,2,2,11,11
vessel 5,9,9,9,5,5,0,13,9,6,2,4,1,13,10,9,12,1,12,0,5,8,7,10,2,4,5,12,5,5,9
vessel 6,13,11,6,9,4,4,0,8,9,3,5,13,12,11,12,2,0,12,8,2,2,3,9,1,3,2,8,5,9,11
vessel 7,7,6,0,2,7,9,4,0,0,11,13,11,6,2,1,12,6,12,14,13,5,8,4,2,8,3,5,9,2,13
vessel 8,5,3,7,12,8,2,12,4,0,14,3,12,12,2,8,13,14,3,14,0,9,8,6,14,7,2,0,0,2,1
vessel 9,3,12,8,9,0,7,11,12,4,0,6,3,8,13,4,10,4,12,1,13,11,10,2,7,6,9,3,3,9,0
vessel 10,5,5,9,7,3,1,9,6,7,12,0,3,4,14,9,11,0,9,4,2,11,10,3,8,6,3,7,0,0,15
vessel 11,11,9,1,7,4,2,0,12,2,0,4,0,12,7,4,9,4,9,2,6,10,9,2,1,0,2,12,5,11,6
vessel 12,9,3,8,9,9,10,9,6,0,5,0,0,0,12,6,5,0,4,4,0,12,9,9,5,3,11,5,0,6,9
vessel 13,4,0,11,0,7,4,0,0,0,2,8,0,7,0,13,11,14,8,13,9,7,1,0,9,3,13,4,7,10,11
vessel 14,13,6,3,8,10,7,3,2,5,7,4,13,12,0,0,13,0,12,13,7,7,7,2,14,11,4,9,5,0,10
vessel 15,4,12,6,10,7,9,5,13,9,9,2,1,10,11,11,0,11,0,0,0,4,10,8,12,10,11,4,13,7,10
vessel 16,6,6,9,2,12,4,11,11,5,5,13,12,3,12,3,11,0,9,12,7,2,10,11,7,9,12,2,12,7,7
vessel 17,6,11,1,14,8,4,5,4,7,10,12,11,10,3,11,5,1,0,9,2,4,1,0,0,6,14,8,7,9,1
vessel 18,13,7,13,4,7,2,6,9,6,2,11,4,13,0,11,8,13,9,0,6,2,5,14,8,0,2,7,4,12,5
vessel 19,6,9,2,8,2,0,8,1,12,7,8,12,8,9,0,6,4,5,3,0,1,10,9,0,11,9,12,3,6,14
vessel 20,5,6,1,10,7,0,9,8,6,12,0,11,0,4,0,2,13,6,3,2,0,3,3,3,14,5,9,11,13,2
vessel 21,12,2,8,9,0,4,12,7,9,0,10,10,14,2,0,3,9,8,3,8,7,0,6,12,11,10,8,13,0,4
vessel 22,7,10,12,8,1,5,11,7,1,3,13,5,5,11,9,3,0,3,7,14,5,5,0,4,10,8,0,5,2,5
vessel 23,6,0,14,4,12,2,7,0,13,5,0,8,8,14,6,0,1,8,12,11,6,10,6,0,14,5,14,6,11,10
vessel 24,0,7,2,5,14,6,5,6,8,8,5,14,12,12,6,4,3,3,4,0,10,12,6,3,0,11,5,5,8,4
vessel 25,12,2,8,7,6,5,7,9,1,0,7,10,9,10,10,11,8,11,11,11,0,9,6,6,6,0,5,4,14,11
vessel 26,0,5,2,0,13,4,2,3,13,2,3,7,6,12,0,11,12,1,4,8,6,11,7,10,7,13,0,7,4,13
vessel 27,0,8,13,10,5,5,0,11,0,2,5,6,5,3,7,0,12,6,11,3,13,5,1,3,4,11,6,0,11,4
vessel 28,13,12,4,7,1,8,10,2,13,13,12,11,14,11,6,4,0,7,11,4,14,3,12,3,1,10,12,8,0,12
vessel 29,6,4,7,14,6,7,14,5,13,0,3,14,7,7,4,8,5,6,11,9,13,11,14,11,12,4,14,1,0,0
