,vessel 0,vessel 1,vessel 2,vessel 3,vessel 4,vessel 5,vessel 6,vessel 7,vessel 8,vessel 9,vessel 10,vessel 11,vessel 12,vessel 13,vessel 14,vessel 15,vessel 16,vessel 17,vessel 18,vessel 19,vessel 20,vessel 21,vessel 22,vessel 23,vessel 24,vessel 25,vessel 26,vessel 27,vessel 28,vessel 29
vessel 0,0,8,12,6,4,8,11,9,13,5,4,12,13,12,9,15,12,2,0,11,9,16,3,9,11,4,8,6,12,2
vessel 1,3,0,8,11,13,9,7,14,14,9,12,10,13,7,17,6,10,16,15,0,8,5,1,1,5,8,11,7,14,10
vessel 2,6,10,0,8,2,4,2,4,10,5,3,8,1,16,10,14,4,1,3,14,10,5,12,9,4,4,0,9,4,17
vessel 3,7,11,4,0,1,15,6,3,1,17,12,8,2,5,2,5,2,7,12,4,10,11,4,6,6,5,12,1,10,8
vessel 4,5,8,8,10,0,0,14,13,14,12,10,11,13,9,3,6,5,4,8,11,7,6,6,2,3,9,3,3,13,12
vessel 5,10,9,9,10,7,0,16,11,7,3,7,3,16,12,11,12,1,13,0,5,10,7,10,2,10,5,18,7,9,11
vessel 6,17,11,8,13,7,3,0,12,9,3,6,15,13,11,13,2,1,16,9,5,3,8,10,1,4,4,9,6,11,12
vessel 7,7,8,3,5,7,12,5,0,2,12,14,12,8,2,2,12,7,14,15,17,5,10,7,3,10,5,8,12,4,13
vessel 8,7,4,7,14,9,5,12,8,0,17,3,13,13,3,6,17,16,4,15,2,13,9,6,14,9,2,4,1,6,2
vessel 9,7,12,10,12,1,10,14,10,6,0,8,6,11,14,9,10,6,12,1,17,12,10,7,12,7,11,4,5,12,4
vessel 10,5,9,9,12,4,2,10,6,7,12,0,5,4,14,12,11,2,11,6,3,13,10,3,13,9,4,12,4,1,14
vessel 11,12,12,1,10,7,4,1,14,2,2,7,0,18,8,8,9,5,11,4,12,14,12,2,3,1,5,14,6,11,10
vessel 12,9,6,12,12,10,12,11,8,2,7,2,0,0,14,11,6,4,4,5,0,14,10,9,6,7,13,6,1,8,11
vessel 13,8,6,13,3,9,5,1,0,2,2,8,0,9,0,14,12,15,8,15,11,8,2,5,9,3,15,5,10,10,13
vessel 14,13,7,4,11,12,8,4,7,5,7,5,14,12,0,0,15,2,16,15,9,10,8,6,15,11,8,13,8,1,13
vessel 15,4,14,8,13,10,12,5,13,11,10,3,3,12,11,16,0,12,1,2,1,3,10,9,12,11,16,6,15,12,10
vessel 16,9,6,15,3,16,5,11,13,10,6,14,12,4,13,4,13,0,10,14,12,5,12,12,9,11,12,4,13,9,10
vessel 17,7,12,1,16,11,5,7,4,8,13,14,12,11,4,15,5,2,0,12,2,6,2,2,3,7,14,9,8,8,3
vessel 18,18,8,14,7,8,3,8,11,9,6,12,4,14,0,11,13,14,11,0,8,4,9,14,9,2,3,10,6,15,6
vessel 19,7,12,4,9,4,3,8,4,17,7,13,14,9,13,0,8,5,6,3,0,3,10,10,1,12,12,13,6,8,16
vessel 20,8,6,4,13,9,1,9,9,7,12,1,14,1,8,0,3,13,8,5,6,0,3,7,7,19,8,10,12,15,6
vessel 21,15,3,11,10,2,7,13,10,14,1,12,12,16,4,4,5,10,12,4,8,8,0,6,14,14,11,11,13,1,7
vessel 22,11,8,16,11,7,6,12,8,1,6,16,7,7,13,12,4,2,4,10,14,6,5,0,4,12,10,0,8,4,8
vessel 23,10,1,16,5,13,5,7,3,17,7,3,9,9,18,8,4,2,10,16,13,10,13,8,0,16,7,16,8,13,11
vessel 24,2,8,2,6,18,6,8,8,9,11,5,15,13,13,7,5,4,4,7,3,10,13,7,6,0,13,6,11,12,7
vessel 25,15,3,8,7,7,6,9,11,5,4,7,10,10,10,15,12,11,14,12,14,2,10,8,9,8,0,7,8,17,14
vessel 26,0,5,2,0,14,6,3,7,14,5,3,11,8,12,0,18,14,2,6,9,9,13,7,12,8,13,0,11,8,15
vessel 27,2,7,14,10,6,7,2,14,3,4,7,11,8,3,8,1,14,8,11,4,15,5,5,7,7,15,7,0,13,5
vessel 28,15,12,5,10,3,8,12,7,18,13,13,15,18,11,8,5,1,8,13,7,15,3,17,3,3,11,14,10,0,14
vessel 29,7,5,9,17,7,8,16,8,14,2,5,15,9,7,7,11,7,7,12,9,13,13,16,13,15,7,16,1,1,0
